game,data_size,instruction,filename,embedding_idx,difficulty
dungeon,16,central cross wall with bats scattered around and open path pockets,gpt-4o_level_10_s16_0,0,4
dungeon,16,scattered wall blocks with bats across open paths,gpt-4o_level_10_s18_0,1,4
dungeon,16,scattered wall blocks with open path areas and bats around edges,gpt-4o_level_10_s20_0,2,3
dungeon,16,scattered wall blocks with bats in open paths,gpt-4o_level_10_s25_0,3,3
dungeon,16,maze like walls with winding paths and bats scattered throughout,gpt-4o_level_10_s27_0,4,3
dungeon,16,scattered walls with open paths and bats spread throughout,gpt-4o_level_10_s30_0,5,4
dungeon,16,walls form maze of paths with bats scattered throughout,gpt-4o_level_10_s32_0,6,3
dungeon,16,central open path with scattered bats and surrounding wall blocks,gpt-4o_level_10_s37_0,7,3
dungeon,16,walls form scattered blocks with winding paths and bats spread around,gpt-4o_level_10_s38_0,8,3
dungeon,16,scattered wall blocks with winding path corridors and bats throughout,gpt-4o_level_10_s48_0,9,4
dungeon,16,scattered wall blocks with open paths and bats spread across map,gpt-4o_level_10_s4_0,10,3
dungeon,16,maze of wall blocks with winding path and bat near top,gpt-4o_level_10_s64_0,11,3
dungeon,16,walls form central maze with winding paths and scattered bats,gpt-4o_level_10_s78_0,12,4
dungeon,16,path maze with walls and bats scattered in corridors,gpt-4o_level_10_s79_0,13,2
dungeon,16,walls form scattered blocks with winding paths and one bat near upper left,gpt-4o_level_10_s84_0,14,3
dungeon,16,grid of wall blocks with scattered bats and narrow paths,gpt-4o_level_10_s92_0,15,3
dungeon,16,maze like wall blocks with winding path throughout no bat,gpt-4o_level_10_s93_0,16,3
dungeon,16,scattered walls with winding paths and no bat,gpt-4o_level_14_s14_0,17,2
dungeon,16,maze like walls with winding paths and scattered bats,gpt-4o_level_14_s22_0,18,4
dungeon,16,path maze with scattered wall blocks and no bat,gpt-4o_level_14_s36_0,19,4
dungeon,16,walls scattered with central path and three bats,gpt-4o_level_14_s45_0,20,2
dungeon,16,walls form central winding path with scattered bat blocks,gpt-4o_level_14_s52_0,21,4
dungeon,16,walls form scattered blocks with central cross path and two bats,gpt-4o_level_14_s58_0,22,3
dungeon,16,walls form scattered blocks with winding paths between them,gpt-4o_level_14_s61_0,23,2
dungeon,16,walls scattered with many isolated blocks and open paths between,gpt-4o_level_14_s63_0,24,4
dungeon,16,scattered wall blocks with bats spread across open paths,gpt-4o_level_14_s65_0,25,4
dungeon,16,scattered wall blocks with winding path and bats dispersed,gpt-4o_level_14_s66_0,26,2
dungeon,16,scattered wall blocks with central open path and bats around edges,gpt-4o_level_14_s89_0,27,3
dungeon,16,scattered wall blocks with winding path and bats around openings,gpt-4o_level_14_s90_0,28,4
dungeon,16,scattered wall blocks with winding path and bats clustered in open rooms,gpt-4o_level_14_s97_0,29,3
dungeon,16,walls form scattered blocks with winding paths and bats dispersed,gpt-4o_level_15_s12_0,30,3
dungeon,16,maze like wall blocks with winding path and bats scattered throughout,gpt-4o_level_15_s21_0,31,3
dungeon,16,walls form maze like paths with bats scattered mostly bottom right,gpt-4o_level_15_s25_0,32,4
dungeon,16,scattered walls with bats in open areas and winding paths,gpt-4o_level_15_s29_0,33,4
dungeon,16,scattered wall blocks with winding path and bats spread around,gpt-4o_level_15_s48_0,34,3
dungeon,16,walls form maze paths with bats scattered throughout open areas,gpt-4o_level_15_s76_0,35,4
dungeon,16,walls form scattered blocks with paths between and bats spread across open areas,gpt-4o_level_15_s85_0,36,3
dungeon,16,scattered wall blocks with open path areas and four bats around center,gpt-4o_level_15_s89_0,37,3
dungeon,16,scattered wall blocks with winding path and bats dispersed,gpt-4o_level_15_s95_0,38,3
dungeon,16,scattered wall blocks with winding path and bats dispersed,gpt-4o_level_15_s98_0,39,3
dungeon,16,paths through central open area with scattered bats and surrounding walls,gpt-4o_level_15_s9_0,40,3
dungeon,16,walls form scattered blocks with bats along open paths,gpt-4o_level_16_s29_0,41,3
dungeon,16,walls scattered with open paths and bats spread across map,gpt-4o_level_16_s31_0,42,2
dungeon,16,scattered wall blocks with bats along winding paths,gpt-4o_level_16_s32_0,43,3
dungeon,16,scattered wall blocks with bats spread across open paths,gpt-4o_level_16_s50_0,44,3
dungeon,16,walls form scattered blocks with winding paths and bats spread throughout,gpt-4o_level_16_s54_0,45,3
dungeon,16,central open path with scattered wall blocks and three bats,gpt-4o_level_16_s76_0,46,2
dungeon,16,scattered wall blocks with winding path and bats in open areas,gpt-4o_level_16_s89_0,47,3
dungeon,16,scattered wall blocks with bats around edges and open paths between,gpt-4o_level_17_s14_0,48,4
dungeon,16,scattered wall blocks with bats along open paths,gpt-4o_level_17_s18_0,49,4
dungeon,16,scattered wall blocks with winding path and bats spread out,gpt-4o_level_17_s22_0,50,3
dungeon,16,scattered wall blocks with open paths and bats dispersed throughout,gpt-4o_level_17_s46_0,51,3
dungeon,16,walls form scattered blocks with open paths and a few bats,gpt-4o_level_17_s51_0,52,2
dungeon,16,walls scattered with bats and open paths between blocks,gpt-4o_level_17_s68_0,53,3
dungeon,16,scattered wall blocks with bats across open paths,gpt-4o_level_17_s79_0,54,3
dungeon,16,scattered walls with winding paths and bats on left,gpt-4o_level_17_s8_0,55,4
dungeon,16,scattered walls with winding paths and three bats,gpt-4o_level_17_s93_0,56,2
dungeon,16,walls form central blocky maze with surrounding paths and scattered bats,gpt-4o_level_1_s23_0,57,2
dungeon,16,scattered wall blocks with central path and bats around edges,gpt-4o_level_1_s25_0,58,3
dungeon,16,four bats scattered among separated wall blocks,gpt-4o_level_1_s57_0,59,2
dungeon,16,walls form scattered blocks with open paths and bats spread around,gpt-4o_level_1_s5_0,60,2
dungeon,16,scattered walls forming winding paths with bats in open areas,gpt-4o_level_1_s7_0,61,2
dungeon,16,walls fill map with scattered bats and no clear path,gpt-4o_level_1_s96_0,62,2
dungeon,16,path across middle with bats clustered top left and top right walls,gpt-4o_level_1_s98_0,63,2
dungeon,16,scattered wall blocks with winding path gaps and no bat,gpt-4o_level_20_s11_0,64,5
dungeon,16,central cross path with scattered wall blocks and bats clustered lower center,gpt-4o_level_20_s27_0,65,3
dungeon,16,walls form maze of horizontal paths with bats along bottom,gpt-4o_level_20_s30_0,66,3
dungeon,16,walls form scattered blocks with open paths and bats clustered right side,gpt-4o_level_20_s59_0,67,4
dungeon,16,scattered wall blocks with bats across open paths,gpt-4o_level_20_s73_0,68,3
dungeon,16,scattered wall blocks with open path and three bats,gpt-4o_level_20_s75_0,69,2
dungeon,16,winding path corridors between wall blocks with scattered bat clusters,gpt-4o_level_20_s7_0,70,2
dungeon,16,scattered wall blocks with open path and bats around edges,gpt-4o_level_20_s91_0,71,3
dungeon,16,scattered wall blocks with winding path and bats in open areas,gpt-4o_level_21_s30_0,72,3
dungeon,16,central open path with scattered wall blocks and bats,gpt-4o_level_21_s88_0,73,3
dungeon,16,scattered wall blocks with winding path and bats throughout,gpt-4o_level_21_s99_0,74,3
dungeon,16,scattered wall blocks with winding path gaps and no bat,gpt-4o_level_22_s1_0,75,4
dungeon,16,central path with scattered bats and surrounding walls,gpt-4o_level_22_s57_0,76,2
dungeon,16,scattered wall blocks with open paths and bats spread throughout,gpt-4o_level_22_s58_0,77,4
dungeon,16,central open path with scattered bats and surrounding walls,gpt-4o_level_22_s64_0,78,2
dungeon,16,scattered wall blocks with bats on open paths,gpt-4o_level_22_s74_0,79,2
dungeon,16,scattered wall blocks with bats near bottom and open paths,gpt-4o_level_22_s7_0,80,2
dungeon,16,central open area with scattered bats and branching paths between walls,gpt-4o_level_22_s92_0,81,2
dungeon,16,walls form scattered blocks with winding paths and two bats near top,gpt-4o_level_23_s2_0,82,2
dungeon,16,scattered wall blocks with bats across open paths,gpt-4o_level_23_s84_0,83,3
dungeon,16,central path with scattered wall blocks and bats,gpt-4o_level_26_s10_0,84,3
dungeon,16,scattered wall blocks with open paths and bats spread throughout,gpt-4o_level_26_s13_0,85,2
dungeon,16,central open path with scattered bats and surrounding walls,gpt-4o_level_26_s18_0,86,3
dungeon,16,square ring wall with central wall block and looping path bats scattered,gpt-4o_level_26_s23_0,87,2
dungeon,16,scattered wall blocks with open path areas and two bats,gpt-4o_level_26_s24_0,88,2
dungeon,16,scattered wall blocks with winding path and bats dispersed,gpt-4o_level_26_s27_0,89,2
dungeon,16,walls form scattered blocks with central open path and bats near edges,gpt-4o_level_26_s43_0,90,3
dungeon,16,walls form scattered blocks with open paths and bats spread throughout,gpt-4o_level_26_s44_0,91,3
dungeon,16,scattered wall blocks with bats in open paths,gpt-4o_level_26_s4_0,92,3
dungeon,16,scattered wall blocks with bats across open paths,gpt-4o_level_26_s53_0,93,2
dungeon,16,scattered wall blocks with open path areas and three bats,gpt-4o_level_26_s56_0,94,2
dungeon,16,scattered wall blocks with open path areas and bats near bottom,gpt-4o_level_26_s62_0,95,2
dungeon,16,maze like walls with scattered paths and a bat near top left,gpt-4o_level_26_s66_0,96,3
dungeon,16,bat centered among scattered wall blocks with winding path gaps,gpt-4o_level_26_s6_0,97,1
dungeon,16,open path area with scattered bats and surrounding wall blocks,gpt-4o_level_26_s70_0,98,3
dungeon,16,path maze with walls and bats scattered throughout,gpt-4o_level_26_s88_0,99,2
dungeon,16,bats scattered across open area with central walls forming broken path,gpt-4o_level_26_s94_0,100,4
dungeon,16,walls form scattered blocks with paths between and bats spread around,gpt-4o_level_29_s34_0,101,3
dungeon,16,walls form scattered blocks with winding paths and bats dispersed,gpt-4o_level_30_s13_0,102,2
