game,data_size,instruction,filename,embedding_idx,difficulty
dungeon,16,central cross wall with enemies scattered around and open path pockets,gpt-4o_level_10_s16_0,0,4
dungeon,16,scattered wall blocks with enemies across open paths,gpt-4o_level_10_s18_0,1,4
dungeon,16,scattered wall blocks with open path areas and enemies around edges,gpt-4o_level_10_s20_0,2,3
dungeon,16,scattered wall blocks with enemies in open paths,gpt-4o_level_10_s25_0,3,3
dungeon,16,maze like walls with winding paths and enemies scattered throughout,gpt-4o_level_10_s27_0,4,3
dungeon,16,scattered walls with open paths and enemies spread throughout,gpt-4o_level_10_s30_0,5,4
dungeon,16,walls form maze of paths with enemies scattered throughout,gpt-4o_level_10_s32_0,6,3
dungeon,16,central open path with scattered enemies and surrounding wall blocks,gpt-4o_level_10_s37_0,7,3
dungeon,16,walls form scattered blocks with winding paths and enemies spread around,gpt-4o_level_10_s38_0,8,3
dungeon,16,scattered wall blocks with winding path corridors and enemies throughout,gpt-4o_level_10_s48_0,9,4
dungeon,16,scattered wall blocks with open paths and enemies spread across map,gpt-4o_level_10_s4_0,10,3
dungeon,16,maze of wall blocks with winding path and enemy near top,gpt-4o_level_10_s64_0,11,3
dungeon,16,walls form central maze with winding paths and scattered enemies,gpt-4o_level_10_s78_0,12,4
dungeon,16,path maze with walls and enemies scattered in corridors,gpt-4o_level_10_s79_0,13,2
dungeon,16,walls form scattered blocks with winding paths and one enemy near upper left,gpt-4o_level_10_s84_0,14,3
dungeon,16,grid of wall blocks with scattered enemies and narrow paths,gpt-4o_level_10_s92_0,15,3
dungeon,16,maze like wall blocks with winding path throughout no enemy,gpt-4o_level_10_s93_0,16,3
dungeon,16,scattered walls with winding paths and no enemy,gpt-4o_level_14_s14_0,17,2
dungeon,16,maze like walls with winding paths and scattered enemies,gpt-4o_level_14_s22_0,18,4
dungeon,16,path maze with scattered wall blocks and no enemy,gpt-4o_level_14_s36_0,19,4
dungeon,16,walls scattered with central path and three enemies,gpt-4o_level_14_s45_0,20,2
dungeon,16,walls form central winding path with scattered enemy blocks,gpt-4o_level_14_s52_0,21,4
