tile_id,file_name,game,tile_annotation
1,empty,dungeon,empty
2,solid,dungeon,wall
3,bat,dungeon,enemy
4,floor,the_legend_of_zelda,floor
5,block,the_legend_of_zelda,block
6,monster,the_legend_of_zelda,monster
7,element,the_legend_of_zelda,element(lava/water)
8,floor_and_element,the_legend_of_zelda,element(lava/water)+floor
9,block_and_element,the_legend_of_zelda,element(lava/water)+block
10,door,the_legend_of_zelda,door
11,stair,the_legend_of_zelda,stair
12,wall,the_legend_of_zelda,wall
13,void,the_legend_of_zelda,void
14,ground,lode_runner,solid_ground
15,diggable_ground,lode_runner,solid_diggable_ground
16,empty,lode_runner,passable_empty
17,rope,lode_runner,passable_climbable_rope
18,ladder,lode_runner,passable_climbable_ladder
19,gold,lode_runner,passable_pickupable_gold
20,enemy,lode_runner,damaging_enemy
21,spawn,lode_runner,passable_spawn
22,ground,super_mario_bros,solid_ground
23,breakable,super_mario_bros,solid_breakable
24,empty,super_mario_bros,passable_empty
25,full_question_block,super_mario_bros,solid_full_question_block
26,empty_question_block,super_mario_bros,solid_empty_question_block
27,enemy,super_mario_bros,enemy_damaging_hazard_moving
28,top_left_pipe,super_mario_bros,solid_top_left_pipe
29,top_right_pipe,super_mario_bros,solid_top_right_pipe
30,left_pipe,super_mario_bros,solid_left_pipe
31,right_pipe,super_mario_bros,solid_right_pipe
32,coin,super_mario_bros,passable_collectable_coin
33,cannon_top,super_mario_bros,solid_hazard_cannon_top
34,cannon_bottom,super_mario_bros,solid_cannon_bottom
